직원ID,퇴직여부,나이,성별,출장빈도,일대비급여수준,부서,집과의거리,전공,업무환경만족도,업무참여도,업무만족도,결혼여부,월급여,일한회사수,직원수,18세이상,야근정도,급여증가분백분율,스톡옵션정도,근속연수,현재역할년수,마지막승진년수
1,Yes,41,Female,Travel_Rarely,1102,Sales,1,Life Sciences,2,3,4,Single,5993,8,1,Y,Yes,11,0,6,4,0
2,No,49,Male,Travel_Frequently,279,Research & Development,8,Life Sciences,3,2,2,Married,5130,1,1,Y,No,23,1,10,7,1
4,Yes,37,Male,Travel_Rarely,1373,Research & Development,2,Other,4,2,3,Single,2090,6,1,Y,Yes,15,0,0,0,0
5,No,33,Female,Travel_Frequently,1392,Research & Development,3,Life Sciences,4,3,3,Married,2909,1,1,Y,Yes,11,0,8,7,3
7,No,27,Male,Travel_Rarely,591,Research & Development,2,Medical,1,3,2,Married,3468,9,1,Y,No,12,1,2,2,2
8,No,32,Male,Travel_Frequently,1005,Research & Development,2,Life Sciences,4,3,4,Single,3068,0,1,Y,No,13,0,7,7,3
10,No,59,Female,Travel_Rarely,1324,Research & Development,3,Medical,3,4,1,Married,2670,4,1,Y,Yes,20,3,1,0,0
11,No,30,Male,Travel_Rarely,1358,Research & Development,24,Life Sciences,4,3,3,Divorced,2693,1,1,Y,No,22,1,1,0,0
12,No,38,Male,Travel_Frequently,216,Research & Development,23,Life Sciences,4,2,3,Single,9526,0,1,Y,No,21,0,9,7,1
13,No,36,Male,Travel_Rarely,1299,Research & Development,27,Medical,3,3,3,Married,5237,6,1,Y,No,13,2,7,7,7
14,No,35,Male,Travel_Rarely,809,Research & Development,16,Medical,1,4,2,Married,2426,0,1,Y,No,13,1,5,4,0
15,No,29,Female,Travel_Rarely,153,Research & Development,15,Life Sciences,4,2,3,Single,4193,0,1,Y,Yes,12,0,9,5,0
16,No,31,Male,Travel_Rarely,670,Research & Development,26,Life Sciences,1,3,3,Divorced,2911,1,1,Y,No,17,1,5,2,4
18,No,34,Male,Travel_Rarely,1346,Research & Development,19,Medical,2,3,4,Divorced,2661,0,1,Y,No,11,1,2,2,1
19,Yes,28,Male,Travel_Rarely,103,Research & Development,24,Life Sciences,3,2,3,Single,2028,5,1,Y,Yes,14,0,4,2,0
20,No,29,Female,Travel_Rarely,1389,Research & Development,21,Life Sciences,2,4,1,Divorced,9980,1,1,Y,No,11,1,10,9,8
21,No,32,Male,Travel_Rarely,334,Research & Development,5,Life Sciences,1,4,2,Divorced,3298,0,1,Y,Yes,12,2,6,2,0
22,No,22,Male,Non-Travel,1123,Research & Development,16,Medical,4,4,4,Divorced,2935,1,1,Y,Yes,13,2,1,0,0
23,No,53,Female,Travel_Rarely,1219,Sales,2,Life Sciences,1,2,4,Married,15427,2,1,Y,No,16,0,25,8,3
24,No,38,Male,Travel_Rarely,371,Research & Development,2,Life Sciences,4,3,4,Single,3944,5,1,Y,Yes,11,0,3,2,1
26,No,24,Female,Non-Travel,673,Research & Development,11,Other,1,4,3,Divorced,4011,0,1,Y,No,18,1,4,2,1
27,Yes,36,Male,Travel_Rarely,1218,Sales,9,Life Sciences,3,2,1,Single,3407,7,1,Y,No,23,0,5,3,0
28,No,34,Female,Travel_Rarely,419,Research & Development,7,Life Sciences,1,3,2,Single,11994,0,1,Y,No,11,0,12,6,2
30,No,21,Male,Travel_Rarely,391,Research & Development,15,Life Sciences,3,3,4,Single,1232,1,1,Y,No,14,0,0,0,0
31,Yes,34,Male,Travel_Rarely,699,Research & Development,6,Medical,2,3,1,Single,2960,2,1,Y,No,11,0,4,2,1
32,No,53,Female,Travel_Rarely,1282,Research & Development,5,Other,3,3,3,Divorced,19094,4,1,Y,No,11,1,14,13,4
33,Yes,32,Female,Travel_Frequently,1125,Research & Development,16,Life Sciences,2,1,1,Single,3919,1,1,Y,Yes,22,0,10,2,6
35,No,42,Male,Travel_Rarely,691,Sales,8,Marketing,3,3,2,Married,6825,0,1,Y,No,11,1,9,7,4
36,No,44,Female,Travel_Rarely,477,Research & Development,7,Medical,1,2,4,Married,10248,3,1,Y,No,14,1,22,6,5
38,No,46,Female,Travel_Rarely,705,Sales,2,Marketing,2,3,1,Single,18947,3,1,Y,No,12,0,2,2,2
39,No,33,Male,Travel_Rarely,924,Research & Development,2,Medical,3,3,4,Single,2496,4,1,Y,No,11,0,1,1,0
40,No,44,Male,Travel_Rarely,1459,Research & Development,10,Other,4,3,4,Married,6465,2,1,Y,Yes,13,0,4,2,1
41,No,30,Male,Travel_Rarely,125,Research & Development,9,Medical,4,2,3,Single,2206,1,1,Y,No,13,0,10,0,1
42,Yes,39,Male,Travel_Rarely,895,Sales,5,Technical Degree,4,3,4,Married,2086,3,1,Y,No,14,1,1,0,0
45,Yes,24,Male,Travel_Rarely,813,Research & Development,1,Medical,2,3,4,Married,2293,2,1,Y,Yes,16,1,2,0,2
46,No,43,Female,Travel_Rarely,1273,Research & Development,2,Medical,4,4,3,Divorced,2645,1,1,Y,No,12,2,5,3,1
47,Yes,50,Male,Travel_Rarely,869,Sales,3,Marketing,1,2,3,Married,2683,1,1,Y,Yes,14,0,3,2,0
49,No,35,Female,Travel_Rarely,890,Sales,2,Marketing,4,3,4,Married,2014,1,1,Y,No,13,0,2,2,2
51,No,36,Female,Travel_Rarely,852,Research & Development,5,Life Sciences,2,2,1,Married,3419,9,1,Y,Yes,14,1,1,1,0
52,No,33,Female,Travel_Frequently,1141,Sales,1,Life Sciences,3,4,1,Married,5376,2,1,Y,No,19,2,5,3,1
53,No,35,Male,Travel_Rarely,464,Research & Development,4,Other,3,3,4,Divorced,1951,1,1,Y,No,12,1,1,0,0
54,No,27,Female,Travel_Rarely,1240,Research & Development,2,Life Sciences,4,3,1,Divorced,2341,1,1,Y,No,13,1,1,0,0
55,Yes,26,Male,Travel_Rarely,1357,Research & Development,25,Life Sciences,1,1,3,Single,2293,1,1,Y,No,12,0,1,0,0
56,No,27,Male,Travel_Frequently,994,Sales,8,Life Sciences,4,3,3,Single,8726,1,1,Y,No,15,0,9,8,1
57,No,30,Female,Travel_Frequently,721,Research & Development,1,Medical,3,3,4,Single,4011,1,1,Y,No,23,0,12,8,3
58,Yes,41,Female,Travel_Rarely,1360,Research & Development,12,Technical Degree,2,3,3,Married,19545,1,1,Y,No,12,0,22,15,15
60,No,34,Male,Non-Travel,1065,Sales,23,Marketing,2,3,3,Single,4568,0,1,Y,No,20,0,9,5,8
61,No,37,Male,Travel_Rarely,408,Research & Development,19,Life Sciences,2,3,2,Married,3022,4,1,Y,No,21,0,1,0,0
62,No,46,Male,Travel_Frequently,1211,Sales,5,Marketing,1,3,4,Single,5772,4,1,Y,Yes,21,0,9,6,0
63,No,35,Male,Travel_Rarely,1229,Research & Development,8,Life Sciences,4,4,4,Married,2269,1,1,Y,No,19,0,1,0,0
64,Yes,48,Male,Travel_Rarely,626,Research & Development,1,Life Sciences,1,2,3,Single,5381,9,1,Y,Yes,13,0,1,0,0
65,Yes,28,Male,Travel_Rarely,1434,Research & Development,5,Technical Degree,3,3,3,Single,3441,1,1,Y,Yes,13,0,2,2,2
68,No,44,Female,Travel_Rarely,1488,Sales,1,Marketing,2,3,1,Divorced,5454,5,1,Y,Yes,21,1,4,3,1
70,No,35,Male,Non-Travel,1097,Research & Development,11,Medical,3,2,1,Married,9884,2,1,Y,Yes,13,1,4,0,2
72,No,26,Female,Travel_Rarely,1443,Sales,23,Marketing,3,2,4,Married,4157,7,1,Y,Yes,19,1,2,2,0
73,No,33,Female,Travel_Frequently,515,Research & Development,1,Life Sciences,1,3,4,Single,13458,1,1,Y,Yes,12,0,15,14,8
74,No,35,Male,Travel_Frequently,853,Sales,18,Life Sciences,2,3,1,Married,9069,1,1,Y,No,22,1,9,8,1
75,No,35,Female,Travel_Rarely,1142,Research & Development,23,Medical,3,3,1,Married,4014,3,1,Y,Yes,15,1,2,2,2
76,No,31,Male,Travel_Rarely,655,Research & Development,7,Life Sciences,4,3,4,Divorced,5915,3,1,Y,No,22,1,7,7,1
77,No,37,Male,Travel_Rarely,1115,Research & Development,1,Life Sciences,1,2,3,Divorced,5993,1,1,Y,No,18,1,7,5,0
78,No,32,Male,Travel_Rarely,427,Research & Development,1,Medical,1,3,4,Married,6162,1,1,Y,Yes,22,1,9,8,7
79,No,38,Female,Travel_Frequently,653,Research & Development,29,Life Sciences,4,3,4,Single,2406,1,1,Y,No,11,0,10,3,9
80,No,50,Female,Travel_Rarely,989,Research & Development,7,Medical,2,2,3,Divorced,18740,5,1,Y,Yes,12,1,27,3,13
81,No,59,Female,Travel_Rarely,1435,Sales,25,Life Sciences,1,3,1,Single,7637,7,1,Y,No,11,0,21,16,7
83,No,36,Female,Travel_Rarely,1223,Research & Development,8,Technical Degree,3,3,3,Divorced,10096,1,1,Y,No,13,3,17,14,12
