연번,호선,고유역번호(외부역코드),역명,수송연월,승하차인원수
1,1,150,서울역(1),2025-01,3651931
2,1,151,시청(1),2025-01,1406021
3,1,152,종각,2025-01,2017031
4,1,153,종로3가(1),2025-01,1338823
5,1,154,종로5가,2025-01,1230222
6,1,155,동대문(1),2025-01,672217
7,1,156,신설동(1),2025-01,733910
8,1,157,제기동,2025-01,993419
9,1,158,청량리,2025-01,1276850
10,1,159,동묘앞(1),2025-01,568172
11,2,201,시청(2),2025-01,1306894
12,2,202,을지로입구,2025-01,2608970
13,2,203,을지로3가(2),2025-01,1269031
14,2,204,을지로4가(2),2025-01,726011
15,2,205,동대문역사문화공원(2),2025-01,864001
16,2,206,신당(2),2025-01,834440
17,2,207,상왕십리,2025-01,748897
18,2,208,왕십리(2),2025-01,799358
19,2,209,한양대,2025-01,430221
20,2,210,뚝섬,2025-01,1273203
21,2,211,성수,2025-01,2552525
22,2,212,건대입구(2),2025-01,2055200
23,2,213,구의,2025-01,1307473
24,2,214,강변,2025-01,1494434
25,2,215,잠실나루,2025-01,742682
26,2,216,잠실(2),2025-01,4224552
27,2,217,잠실새내,2025-01,1240750
28,2,218,종합운동장(2),2025-01,439098
29,2,219,삼성,2025-01,2742473
30,2,220,선릉,2025-01,2637324
31,2,221,역삼,2025-01,2619344
32,2,222,강남,2025-01,4275761
33,2,223,교대(2),2025-01,1694655
34,2,224,서초,2025-01,1096554
35,2,225,방배,2025-01,806955
36,2,226,사당(2),2025-01,2498343
37,2,227,낙성대,2025-01,1421879
38,2,228,서울대입구,2025-01,2399787
39,2,229,봉천,2025-01,1243714
40,2,230,신림,2025-01,2960403
41,2,231,신대방,2025-01,1324474
42,2,232,구로디지털단지,2025-01,2959904
43,2,233,대림(2),2025-01,1335774
44,2,234,신도림,2025-01,2715893
45,2,235,문래,2025-01,1218582
46,2,236,영등포구청(2),2025-01,1192042
47,2,237,당산,2025-01,1016099
48,2,238,합정(2),2025-01,1823923
49,2,239,홍대입구,2025-01,4260700
50,2,240,신촌,2025-01,1996789
51,2,241,이대,2025-01,810368
52,2,242,아현,2025-01,550704
53,2,243,충정로(2),2025-01,530453
54,2,244,용답,2025-01,158621
55,2,245,신답,2025-01,88801
56,2,246,신설동(2),2025-01,206550
57,2,247,도림천,2025-01,71872
58,2,248,양천구청,2025-01,365539
59,2,249,신정네거리,2025-01,547053
60,2,250,용두,2025-01,141675
61,3,309,지축,2025-01,406161
62,3,310,구파발,2025-01,1146437
63,3,311,연신내(3),2025-01,1906266
64,3,312,불광(3),2025-01,917319
65,3,313,녹번,2025-01,760594
66,3,314,홍제,2025-01,918176
67,3,315,무악재,2025-01,228672
68,3,316,독립문,2025-01,409018
69,3,317,경복궁,2025-01,1333443
70,3,318,안국,2025-01,1432565
71,3,319,종로3가(3),2025-01,598672
72,3,320,을지로3가(3),2025-01,613838
73,3,322,동대입구,2025-01,534603
74,3,323,약수(3),2025-01,665404
75,3,324,금호,2025-01,423599
76,3,325,옥수,2025-01,493844
77,3,326,압구정,2025-01,1705627
78,3,327,신사,2025-01,1516451
79,3,328,잠원,2025-01,257092
80,3,329,고속터미널(3),2025-01,2808198
81,3,330,교대(3),2025-01,655280
82,3,331,남부터미널,2025-01,1708367
83,3,332,양재,2025-01,1924684
84,3,333,매봉,2025-01,622514
85,3,334,도곡,2025-01,305397
86,3,335,대치,2025-01,696233
87,3,336,학여울,2025-01,118256
88,3,337,대청,2025-01,533376
89,3,338,일원,2025-01,544229
